substructure_smiles,normalized_attribution_data
C,-0.11105615919903351
C=CC,0.08143116
C=CCCCCCCCCC(=O)O,-0.548133
CC,-0.37305341000000003
CC(=O)C(=O)O,-0.8881964
CC(C)O,-0.520112
CC12CCC(C1)C(C)(C)C2O,0.24713503
CC12CCC(CC1)C(C)(C)O2,-0.12185939400000001
CC12CCC(CC1=O)C2(C)C,-0.34832385
CC1=CCCCC1,-0.61643285
CCC,-0.3328439
CCC(=O)O,-0.41101798
CCCC,0.06164973
CCCC(=O)O,-0.43236354
CCCCCC(=O)O,-0.72013444
CCCCCCC(=O)O,-0.62256306
CCCCCCCC(=O)O,-0.5870404
CCCCCCCCC(=O)O,-0.55845505
CCCCCCCCCC(=O)O,-0.5263413
CCCCCCCCCCC(=O)O,-0.36479285
CCCCCCCCCCCC(=O)O,-0.3313601
CCCCCCCCCCCCCCCC(=O)O,-0.07957051
CCCCCCCCCCCCCCCCCC(=O)O,-0.0031330432
CCCCCCCCCCCCCCO,-0.6391710999999999
CCCCCCCCCCCCO,-0.7769377
CCCCCCCCCCO,-0.7908455
CCCCCCCCO,-0.7760398000000001
CCN,-0.5791942733333333
CNC=O,-0.6547960999999999
C[C@@H]1CCC[C@H](O)C1,-0.68145204
C[C@H](N)C(=O)O,-0.5224347
C[N+](C)C,0.26855624
C[n+]1ccnc1,-0.14139804
Cc1ccc(O)cc1,-0.94143057
N,-0.06314040538620691
NC=O,-0.25786027
NCCCC[C@H](N)C(=O)O,-0.84401983
NCCN,-0.93971014
NCCO,-0.78174984
O,-0.04893579036470588
O=c1ccc2ccccc2o1,-0.28961
S,-0.04652003
SS,-0.09220561
[N+],0.24313498
[n+],0.019881222
[nH3],-0.069029525
c,-0.11935898117272732
c1c[nH]cn1,-0.43626308
c1ccccc1,0.047413263
n,0.0007661594999999986
o,-0.0013566301999999998
