mol solvent,mol solute,with_sme,without_sme,attribution_data,normalized_attribution_data,substructure_smiles
NCCN,OCC,-5.982035978,-6.205719167,-0.22368288,-0.2200255,N
NCCN,OCC,-5.453393488,-6.205719167,-0.75232553,-0.6365343,C
NCCN,OCC,-5.453393488,-6.205719167,-0.75232553,-0.6365343,C
NCCN,OCC,-5.982035978,-6.205719167,-0.22368288,-0.2200255,N
NCCN,OCC,-4.470154536,-6.205719167,-1.7355642,-0.93971014,NCCN
C(CNCCN)N,OCC,-5.547626824,-5.960980178,-0.41335344,-0.39131632,C
C(CNCCN)N,OCC,-5.596854199,-5.960980178,-0.3641262,-0.3488433,C
C(CNCCN)N,OCC,-5.835348021,-5.960980178,-0.12563229,-0.12497543,N
C(CNCCN)N,OCC,-5.596854199,-5.960980178,-0.3641262,-0.3488433,C
C(CNCCN)N,OCC,-5.547626824,-5.960980178,-0.41335344,-0.39131632,C
C(CNCCN)N,OCC,-5.890856112,-5.960980178,-0.07012415,-0.07000943,N
C(CNCCN)N,OCC,-5.890856112,-5.960980178,-0.07012415,-0.07000943,N
C(CNCCN)N,OCC,-5.103005477,-5.960980178,-0.857975,-0.6952129,CCN
C(CNCCN)N,OCC,-5.835348021,-5.960980178,-0.12563229,-0.12497543,N
C(CNCCN)N,OCC,-5.103005477,-5.960980178,-0.857975,-0.6952129,CCN
C(CNCCNCCN)N,OCC,-5.387074034,-5.747112467,-0.36003828,-0.34524778,C
C(CNCCNCCN)N,OCC,-5.467850222,-5.747112467,-0.27926207,-0.27222198,C
C(CNCCNCCN)N,OCC,-5.66242806,-5.747112467,-0.08468437,-0.08448252,N
C(CNCCNCCN)N,OCC,-5.563360131,-5.747112467,-0.18375206,-0.1817115,C
C(CNCCNCCN)N,OCC,-5.563360131,-5.747112467,-0.18375206,-0.1817115,C
C(CNCCNCCN)N,OCC,-5.66242806,-5.747112467,-0.08468437,-0.08448252,N
C(CNCCNCCN)N,OCC,-5.467850222,-5.747112467,-0.27926207,-0.27222198,C
C(CNCCNCCN)N,OCC,-5.387074034,-5.747112467,-0.36003828,-0.34524778,C
C(CNCCNCCN)N,OCC,-5.716167846,-5.747112467,-0.030944347,-0.030934485,N
C(CNCCNCCN)N,OCC,-5.716167846,-5.747112467,-0.030944347,-0.030934485,N
C(CNCCNCCN)N,OCC,-5.096959328,-5.747112467,-0.65015316,-0.5717731,CCN
C(CNCCNCCN)N,OCC,-5.66242806,-5.747112467,-0.08468437,-0.08448252,N
C(CNCCNCCN)N,OCC,-5.383382278,-5.747112467,-0.36372995,-0.34849524,CC
C(CNCCNCCN)N,OCC,-5.66242806,-5.747112467,-0.08468437,-0.08448252,N
C(CNCCNCCN)N,OCC,-5.096959328,-5.747112467,-0.65015316,-0.5717731,CCN
C(CNCCNCCNCCN)N,OCC,-5.218723573,-5.488906815,-0.2701831,-0.2637952,C
C(CNCCNCCNCCN)N,OCC,-5.275544844,-5.488906815,-0.21336222,-0.21018244,C
C(CNCCNCCNCCN)N,OCC,-5.435727612,-5.488906815,-0.053179264,-0.05312922,N
C(CNCCNCCNCCN)N,OCC,-5.320982407,-5.488906815,-0.1679244,-0.16636357,C
C(CNCCNCCNCCN)N,OCC,-5.339349474,-5.488906815,-0.14955759,-0.14845237,C
C(CNCCNCCNCCN)N,OCC,-5.446910979,-5.488906815,-0.041996002,-0.041971326,N
C(CNCCNCCNCCN)N,OCC,-5.339349474,-5.488906815,-0.14955759,-0.14845237,C
C(CNCCNCCNCCN)N,OCC,-5.320982407,-5.488906815,-0.1679244,-0.16636357,C
C(CNCCNCCNCCN)N,OCC,-5.435727612,-5.488906815,-0.053179264,-0.05312922,N
C(CNCCNCCNCCN)N,OCC,-5.275544844,-5.488906815,-0.21336222,-0.21018244,C
C(CNCCNCCNCCN)N,OCC,-5.218723573,-5.488906815,-0.2701831,-0.2637952,C
C(CNCCNCCNCCN)N,OCC,-5.484529727,-5.488906815,-0.004377365,-0.0043772934,N
C(CNCCNCCNCCN)N,OCC,-5.484529727,-5.488906815,-0.004377365,-0.0043772934,N
C(CNCCNCCNCCN)N,OCC,-4.978070413,-5.488906815,-0.5108366,-0.47059682,CCN
C(CNCCNCCNCCN)N,OCC,-5.435727612,-5.488906815,-0.053179264,-0.05312922,N
C(CNCCNCCNCCN)N,OCC,-5.171706547,-5.488906815,-0.31720018,-0.3069731,CC
C(CNCCNCCNCCN)N,OCC,-5.446910979,-5.488906815,-0.041996002,-0.041971326,N
C(CNCCNCCNCCN)N,OCC,-5.171706547,-5.488906815,-0.31720018,-0.3069731,CC
C(CNCCNCCNCCN)N,OCC,-5.435727612,-5.488906815,-0.053179264,-0.05312922,N
C(CNCCNCCNCCN)N,OCC,-4.978070413,-5.488906815,-0.5108366,-0.47059682,CCN
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.13013227,-5.314255419,-0.18412304,-0.18207021,C
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.037897578,-5.314255419,-0.27635765,-0.26953068,C
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.023926365,-5.314255419,-0.29032898,-0.2824376,C
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.312219245,-5.314255419,-0.0020360947,-0.0020360607,N
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.111433506,-5.314255419,-0.20282173,-0.20008561,C
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.168950152,-5.314255419,-0.14530516,-0.1442911,C
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.141235553,-5.314255419,-0.17301989,-0.17131379,C
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.207420743,-5.314255419,-0.10683441,-0.10642977,O
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.236125677,-5.314255419,-0.07812977,-0.07797118,O
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.307004587,-5.314255419,-0.007250786,-0.0072506554,N
C(CCN)C[C@@H](C(=O)O)N,OCC,-4.079268217,-5.314255419,-1.2349873,-0.84401983,NCCCC[C@H](N)C(=O)O
CCCCCC(=O)O  ,OCC,-4.521252369,-4.736191425,-0.21493912,-0.21168916,C
CCCCCC(=O)O  ,OCC,-4.656278708,-4.736191425,-0.07991266,-0.07974299,C
