mol solvent,mol solute,with_sme,without_sme
NCCN,OCC,-5.982035978,-6.205719167
NCCN,OCC,-5.453393488,-6.205719167
NCCN,OCC,-5.453393488,-6.205719167
NCCN,OCC,-5.982035978,-6.205719167
NCCN,OCC,-4.470154536,-6.205719167
C(CNCCN)N,OCC,-5.547626824,-5.960980178
C(CNCCN)N,OCC,-5.596854199,-5.960980178
C(CNCCN)N,OCC,-5.835348021,-5.960980178
C(CNCCN)N,OCC,-5.596854199,-5.960980178
C(CNCCN)N,OCC,-5.547626824,-5.960980178
C(CNCCN)N,OCC,-5.890856112,-5.960980178
C(CNCCN)N,OCC,-5.890856112,-5.960980178
C(CNCCN)N,OCC,-5.103005477,-5.960980178
C(CNCCN)N,OCC,-5.835348021,-5.960980178
C(CNCCN)N,OCC,-5.103005477,-5.960980178
C(CNCCNCCN)N,OCC,-5.387074034,-5.747112467
C(CNCCNCCN)N,OCC,-5.467850222,-5.747112467
C(CNCCNCCN)N,OCC,-5.66242806,-5.747112467
C(CNCCNCCN)N,OCC,-5.563360131,-5.747112467
C(CNCCNCCN)N,OCC,-5.563360131,-5.747112467
C(CNCCNCCN)N,OCC,-5.66242806,-5.747112467
C(CNCCNCCN)N,OCC,-5.467850222,-5.747112467
C(CNCCNCCN)N,OCC,-5.387074034,-5.747112467
C(CNCCNCCN)N,OCC,-5.716167846,-5.747112467
C(CNCCNCCN)N,OCC,-5.716167846,-5.747112467
C(CNCCNCCN)N,OCC,-5.096959328,-5.747112467
C(CNCCNCCN)N,OCC,-5.66242806,-5.747112467
C(CNCCNCCN)N,OCC,-5.383382278,-5.747112467
C(CNCCNCCN)N,OCC,-5.66242806,-5.747112467
C(CNCCNCCN)N,OCC,-5.096959328,-5.747112467
C(CNCCNCCNCCN)N,OCC,-5.218723573,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.275544844,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.435727612,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.320982407,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.339349474,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.446910979,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.339349474,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.320982407,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.435727612,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.275544844,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.218723573,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.484529727,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.484529727,-5.488906815
C(CNCCNCCNCCN)N,OCC,-4.978070413,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.435727612,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.171706547,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.446910979,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.171706547,-5.488906815
C(CNCCNCCNCCN)N,OCC,-5.435727612,-5.488906815
C(CNCCNCCNCCN)N,OCC,-4.978070413,-5.488906815
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.13013227,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.037897578,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.023926365,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.312219245,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.111433506,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.168950152,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.141235553,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.207420743,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.236125677,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-5.307004587,-5.314255419
C(CCN)C[C@@H](C(=O)O)N,OCC,-4.079268217,-5.314255419
CCCCCC(=O)O  ,OCC,-4.521252369,-4.736191425
CCCCCC(=O)O  ,OCC,-4.656278708,-4.736191425
CCCCCC(=O)O  ,OCC,-4.481439923,-4.736191425
CCCCCC(=O)O  ,OCC,-4.461839892,-4.736191425
CCCCCC(=O)O  ,OCC,-4.381986114,-4.736191425
CCCCCC(=O)O  ,OCC,-4.390562416,-4.736191425
CCCCCC(=O)O  ,OCC,-4.484973098,-4.736191425
CCCCCC(=O)O  ,OCC,-4.797518498,-4.736191425
CCCCCC(=O)O  ,OCC,-3.828267145,-4.736191425
C[C@@H](C(=O)O)N,OCC,-4.921790695,-5.317891936
C[C@@H](C(=O)O)N,OCC,-5.026381457,-5.317891936
C[C@@H](C(=O)O)N,OCC,-5.028005586,-5.317891936
C[C@@H](C(=O)O)N,OCC,-5.056222885,-5.317891936
C[C@@H](C(=O)O)N,OCC,-5.33169664,-5.317891936
C[C@@H](C(=O)O)N,OCC,-5.193616039,-5.317891936
C[C@@H](C(=O)O)N,OCC,-4.356257737,-5.317891936
CCCCCCCCO,OCC,-4.401780671,-4.517070599
CCCCCCCCO,OCC,-4.393204633,-4.517070599
CCCCCCCCO,OCC,-4.373542227,-4.517070599
CCCCCCCCO,OCC,-4.388287578,-4.517070599
CCCCCCCCO,OCC,-4.347615625,-4.517070599
CCCCCCCCO,OCC,-4.373476152,-4.517070599
CCCCCCCCO,OCC,-4.313075718,-4.517070599
CCCCCCCCO,OCC,-4.193800659,-4.517070599
