mol solvent,mol solute,target Gsolv kcal
CCI,S1CSCSC1,-9.63831067
CCI,COP(OC)(Oc1ccc(cc1)N(=O)=O)=S,-14.04371344
CCCCCCCCCCCCCCC=C,CCCCCCCCCC(OC)=O,-8.09720231
CCI,CCC=CCC=O,-5.97515568
CNC(C)=O,CCCCCCCCCC(OC)=O,-7.58972205
CN1CCCC1=O,CCCCCCCCCC(OC)=O,-8.11709367
CCI,CCC(CC)C=O,-5.60902555
CCI,Cc(ccc1N(=O)=O)cc1F,-9.2399929
CCCC(C)CC,CCCCCCCCCC(OC)=O,-8.38054827
CCI,O=CCc(cc1)ccc1C,-8.65298473
CC(Br)Br,CCCCCCCCCC(OC)=O,-9.39522965
OCCOCCOCCCC,CCCCCCCCCC(OC)=O,-8.21375044
OCCCCCCC,CCCCCCCCCC(OC)=O,-8.36667394
FC(F)C,CC=C(O)Cl,-4.95308024
FC(F)C,CC(=O)N1CCOCC1,-9.33062821
FC(F)C,CC=C(C)C(OCCc1ccccc1)=O,-10.86758431
FC(F)C,BrCC(O)=O,-6.91989569
FC(F)C,FCC(=O)N,-6.38883395
FC(F)C,C=CC(OCCCCCCOC(=O)C=C)=O,-11.70846046
FC(F)C,C3C4CN(CC3CN(C4)Cc2ccccc2)Cc1ccccc1,-14.52277488
FC(F)C,CC(Cl)C(C)=O,-5.47323295
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CCCCCCOC(CCC)=O,-6.97658788
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CCCCCCC(C)=C(C)C#N,-7.76491743
Brc1ccccc1,ClNC(C)C,-4.67628943
COP(OC)(OC)=O,OCC(Cl)C=C,-7.30331348
Brc1ccccc1,CNC(=O)NC(C)=O,-8.73180136
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CC(C)C(=O)Oc(cc1)ccc1C,-7.57486899
COP(OC)(OC)=O,FC(F)C(F)OC(F)(F)Cl,-3.97007482
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CC2Cc(occ1C)c1CC2,-6.46827559
COP(OC)(OC)=O,CC(OCC1CCCO1)=O,-7.64243023
Brc1ccccc1,CCCC(C)C(C)CC,-5.44150986
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CN(N=O)C(=N)NN(=O)=O,-5.9665928
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CC1=CC(CC1)=O,-4.81023682
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CC2CC(OCC2)c1ccccc1,-8.16036064
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CC=C(C)C,-2.64233139
Brc1ccccc1,O=N(=O)c(ccc2NS(C)(=O)=O)cc2Oc1ccccc1,-18.43369235
Brc1ccccc1,Clc1cc(CN=CN(C)C)ccc1,-11.14234449
COP(OC)(OC)=O,FCC(F)(C(F)F)C(F)F,-3.98330994
COP(OC)(OC)=O,CCN(CC)c1ccc(cc1)N(=O)=O,-14.04172583
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CC(C)OC(=O)C=C,-3.98649346
COP(OC)(OC)=O,FC(F)(F)C(C(F)(F)F)C(F)(F)Cl,-2.91307706
COP(OC)(OC)=O,ClC(Cl)(Cl)C(O)=O,-11.3540042
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CN1C=C(C(=O)C2=C1C=C(F)C=C2)S(C)=O,-11.61437965
Brc1ccccc1,CN1C=C(C(=O)C2=C1C=C(F)C=C2)S(C)=O,-15.40368269
Cc1cc(C)cc(C)c1,CCCCC(=O)N(C)C,-7.55724256
Cc1cc(C)cc(C)c1,CCCCCCCC(=O)Oc(cc1)ccc1C,-11.92209209
Cc1cc(C)cc(C)c1,OS(O)(=O)=O,-7.4246232
Cc1cc(C)cc(C)c1,CCCCCCOC(CCC)=O,-8.04445055
Cc1cc(C)cc(C)c1,OC(CCc(cc1)ccc1O)=O,-10.50863919
Cc1cc(C)cc(C)c1,CC(C)COC(=O)Cc1ccccc1,-9.41802125
Cc1cc(C)cc(C)c1,CCCCC(CC)COC(=O)c1cc(C(OCC(CC)CCCC)=O)ccc1C(OCC(CC)CCCC)=O,-23.50956341
Cc1cc(C)cc(C)c1,ClC(CC(O)=O)C=C,-6.6648713
Clc1ccccc1,CCNCCN(C)C,-5.97728787
CN1CCCCC1=O,CCNC(N)=S,-13.89477329
CCCCC(CO)CC,CC1CC(OC1=O)=O,-6.9210608
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ClCCc1ccccc1,-4.97398092
Clc1ccccc1,CCOC(CCC)=O,-5.73751848
CCC(O)(C)C,CCC(O)C(C)(C)C=CC1CC=C(C)C1(C)C,-10.58842012
CCCCCCCCCCCCCCC=C,CCOC(CCC(C)=O)=O,-6.04606413
CCOc1ccccc1,C3C4CN(CC3CN(C4)Cc2ccccc2)Cc1ccccc1,-15.08017498
CCCCC(CO)CC,CC(C)C(F)(C)C,-3.72428374
CC(C)c1ccccc1,CCOC(C)OCCc1ccccc1,-9.02488866
C1OC1,CSSC(C)(C)C=O,-8.2707387
CC(C)CC(C)(C)C,CN(C)C(C)C,-3.68673266
Clc1ccccc1,NCC(F)N,-4.80875085
C1OC1,CC1CC(OC1=O)=O,-9.32461364
CNc1ccccc1,OC1CC(CC=C1C)C(C)=C,-8.85462061
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,CCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCC)=O,-16.61169278
CCCCCCCCCCCCCCC=C,CC=C(O)Cl,-3.76957709
OCCCCCCCCCC,CC(=O)Cc1ccccc1,-7.25878243
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,CCCCCCOC(CCC)=O,-6.87611427
CC(C)c1ccccc1,CC1SCCS1,-6.66281402
OCCCCCCCCCC,CN(N=O)C(=N)NN(=O)=O,-8.21641758
CCOc1ccccc1,SC(S)=S,-6.25557996
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C)ON=O,-2.45584635
ClC1CCCCC1,Cc1ccc(cc1N)N(=O)=O,-11.0300583
ClC1CCCCC1,CC(C)=CC(O)=O,-6.04910106
CC(CC1)CS1(=O)=O,FCC(O)CF,-6.29456036
CC1OC1,CCCC(OCC=Cc1ccccc1)=O,-11.75700948
CC(C)c1ccccc1,O=N(=O)c1oc(cc1)C=NN2CCOC2=O,-16.01643081
CC(C)CC(C)(C)C,C=CCN(=O)=O,-3.96096414
CNc1ccccc1,Brc1ccc(cc1)N=CN(C)C,-12.16297123
CCC(O)(C)C,FC(F)(F)c1ccccc1C#N,-7.50404173
CC1OC1,CCCC(C)(C)CC(C)C,-5.45641501
CCCCCCCCCCCCC,CC(C)(C)n(c(=O)[nH]c1C)c(=O)c1Cl,-9.5951108
CC(C)CC(C)(C)C,CN(C)c1ccc(N(C)C)cc1,-8.85700426
CC1OC1,CC(C)(C)C(C)=CC,-4.69327196
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=CCc(cc1)ccc1C,-5.14199122
CNc1ccccc1,COC(=O)C3c1ccccc1c2ccccc32,-12.3804889
CCC(O)(C)C,CN(N=O)C(=N)NN(=O)=O,-8.57144683
CCCCCCCCCCCCC,Nc1c[nH]c(=O)[nH]c1=O,-7.35066718
CC1OC1,CCCCC=CC(O)C,-7.76336508
CC(C)CC(C)(C)C,CCC(=O)c1cc(C)ccc1O,-8.02833989
CCCCCCCCCCCCCCC=C,OC(CC(CC(O)=O)=O)=O,-7.58720617
CC(C)CC(C)(C)C,N#CCC(=O)c1ccccc1,-7.88514832
ClC1CCCCC1,CC(C)C(=O)C(O)=O,-6.12472819
CCC(O)(C)C,Brc1cccnc1,-7.15071726
CCCCC(CO)CC,COC(O)=C,-5.81871678
CCOC(=O)c1ccccc1C(OCC)=O,O=N(=O)C(C(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,-4.62656103
CC(CC1)CS1(=O)=O,Brc1cccnc1,-6.69093042
CCCCC(CO)CC,CCC(F)(F)C(F)(F)C(F)(F)F,-2.3208998
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,CC(C)C(=O)Oc(cc1)ccc1C,-7.46448716
C1CCCC1,CC(C)C(C)(C)C(F)(F)F,-4.49021203
CCCCCCCCCCCCC,COCC(C)=O,-3.52259223
CNc1ccccc1,COCN(c1c(CC)cccc1CC)C(CCl)=O,-13.72903096
C1CCCC1,Fc1cn(C)c(=O)[nH]c1=O,-7.29933749
ClC1CCCCC1,FC(N)(Cl)Cl,-5.2527138
CC1OC1,OC(=O)c1occc1,-9.91034941
CNc1ccccc1,FS(c1ccccc1)(=O)=O,-8.6582384
CC(C)c1ccccc1,CC(OCC1CCCO1)=O,-7.46210454
CC(CC1)CS1(=O)=O,ON(C)C,-4.96170086
CC(C)c1ccccc1,IC#N,-4.72772709
OCCCCCCCCCC,O1C=CCC=C1,-3.78378549
C1OC1,c(cc1)ccc1c3oc(nc3)c4ccc(cc4)c(nc5)oc5c2ccccc2,-21.90989484
Clc1ccccc1,CCCC(C)C(C)CC,-5.49283028
CC(C)CC(C)(C)C,CC(C)Nc(n1)nc(NC(C)C)nc1OC,-10.99022689
CCCCCCCCCCCCC,CCCCCCCCn1ccnc1,-9.33050869
