smiles,mpi,max_esp,min_esp,kurtosis,skewness,quantile(0.25),quantile(0.5),quantile(0.75),surface_area,"-10,10","-20,-10;10,20","-30,-20;20,30","-40,-30;30,40","-50,-40;40,50","-60,-50;50,60","-70,-60;60,70","-80,-70;70,80"
C,1.561902222,5.575266426,98.16030739,3.626140968,58.47728254,89.79333643,39.52273939,4.242344938,3.785404119,70.92022,0,0,0,0,0,0,0
F,41.90191327,67.32150708,72.47247429,7.085500369,65.01383823,56.16833471,2.472619079,29.78917558,0.412129072,7.742299097,9.340146941,17.32938616,2.483927102,1.888365633,2.062676307,1.946469191,0.319569569
I,10.87111771,23.99729516,93.52224646,7.177017413,64.03217663,83.92320917,36.20818328,12.40964198,4.686348724,59.87608987,11.61185384,6.859156293,0,0,0,0,0
N,30.01192174,22.89028559,52.86966849,4.690022858,40.09775053,69.70429558,67.37940745,25.14850924,2.615212594,13.35778171,24.69929449,15.84846687,6.152585362,1.215691565,0,0,0
O,41.46372662,40.98347219,57.23995342,1.345620434,52.0783425,55.08872419,37.3093329,41.68443328,1.564557375,9.262092776,10.46955161,12.95809482,16.37431982,3.548750968,0,0,0
S,20.1951146,21.52896845,78.81771382,1.492747313,52.15445123,76.12710022,41.76822032,23.2819741,3.681111455,26.17475575,32.76391126,11.12182299,0,0,0,0,0
Br,14.3361505,34.44905953,90.90151114,12.28918421,69.04328285,80.62548748,29.68143946,10.52779,3.400496703,52.64640508,7.023963411,4.305009833,3.77188168,0,0,0,0
CC,1.134014244,4.206784743,97.501627,3.52446475,53.29393264,90.98341242,41.69742124,3.802444606,6.861475461,96.27762,0,0,0,0,0,0,0
CI,13.89591569,15.27600334,88.77123687,0.651931026,52.25699071,79.98296554,42.60350071,17.71136633,7.803007505,54.35086928,49.68821072,0,0,0,0,0,0
Cl,19.26201159,40.82104198,88.0816755,10.75768815,68.97466987,76.70534476,22.57419334,11.82458851,2.562597404,30.01392037,20.29313079,4.401866977,4.205355058,1.925816802,0,0,0
CN,18.31594344,21.38200179,54.61603769,13.64468207,33.57425761,90.09782865,54.22209806,12.61788404,5.919530967,52.90331488,18.25547503,10.93825994,6.085158343,0.330551811,0,0,0
CO,24.79336943,39.05392374,57.54548452,8.2491136,44.14911644,79.69091894,59.96673146,16.5266633,5.088152006,33.53704978,25.70423547,10.45875781,10.83389259,1.125404355,0,0,0
FC,22.79571513,16.46014102,72.42210864,3.164916785,40.25519076,71.26633074,64.04420534,20.67220981,4.161033852,20.20523976,40.4401277,13.37133255,0,0,0,0,0
FF,0.838695217,9.984403773,98.90975979,18.84446197,72.8489341,89.48917978,37.06098026,0.979268912,1.138499647,47.12554432,1.97508568,0,0,0,0,0,0
FI,12.57439976,51.10031196,83.75473363,23.76130438,69.18201976,91.98609715,42.09751638,4.699987941,4.950161018,53.02528453,19.95335422,3.594489847,2.230157934,1.233146152,0.485387315,0,0
II,6.220229469,28.26235213,97.31327615,21.68429051,76.63740196,87.65437098,34.70780316,4.220551155,8.659539809,93.06398821,10.71830378,6.483912161,0.833645849,0,0,0,0
NN,28.89549061,23.83805594,59.66558098,2.796705582,44.11568225,67.7313531,58.69764928,26.96360397,5.077340981,19.62647954,28.93896755,26.17362199,6.831150914,0,0,0,0
ON,28.78218579,36.39247868,66.29404979,2.132179177,51.3823452,67.41332628,39.87509037,30.00905993,4.157878615,19.65239798,21.62352173,28.97846109,3.530370895,0.205938302,0,0,0
OO,33.20884102,44.75097909,68.01115939,3.925834298,59.06439584,63.01915226,21.66923708,28.28634639,3.206492671,16.02878797,19.04149812,20.3284811,5.411178421,5.338054389,0,0,0
PP,10.32231201,9.228228759,82.44882626,8.438853072,35.46177701,89.77434391,56.15730261,11.62503553,8.930088371,88.34154993,24.98855007,0,0,0,0,0,0
SC,18.00609419,17.60503986,75.25863863,3.198617751,42.78216952,77.6499178,60.21743545,17.61692141,6.869404192,37.57031933,51.82953942,6.943121251,0,0,0,0,0
C#C,19.19940797,28.55430252,83.52218344,4.169701917,59.08741718,74.08169309,31.03207163,16.85597933,4.357206883,30.58658678,34.37254866,8.696325977,1.978378577,0,0,0,0
C#N,34.33300099,48.33197553,64.39188373,3.778112092,57.67910354,62.92296289,26.05869828,31.07538243,3.10358899,14.60985953,18.80225401,19.39511787,7.283756057,4.319436732,0.889295798,0,0
C=C,9.186404195,10.41506931,83.15858947,4.73332117,44.36836411,85.5249046,46.60620552,9.67441792,5.689124642,63.46750607,23.14591393,0,0,0,0,0,0
CBC,5.868277357,22.48546934,92.44641082,9.313075051,59.16748455,88.02429072,42.58369308,8.198449337,9.831114253,106.7194459,12.97624669,1.061957409,0,0,0,0,0
CBr,17.0751939,16.46222935,85.83843693,0.176723882,51.51770691,76.58710458,41.47331053,20.45353674,6.650933423,33.61113968,60.55996942,0.370920896,0,0,0,0,0
