smiles,mpi,max_esp,min_esp,kurtosis,skewness,quantile(0.25),quantile(0.5),quantile(0.75),surface_area,"-10,10","-20,-10;10,20","-30,-20;20,30","-40,-30;30,40","-50,-40;40,50","-60,-50;50,60","-70,-60;60,70","-80,-70;70,80"
O,41.46370729,40.98347884,57.23993717,1.345624676,52.07834052,55.08870481,37.30970072,41.6844721,1.564510065,0.180737051,2.912091858,11.19468169,28.4285197,6.792968402,0,0,0
CI,13.89591569,15.27600809,88.77122337,0.651929928,52.2569916,79.98295052,42.60343565,17.71136863,7.802992948,5.543031853,13.82079624,0,0,0,0,0,0
CO,24.79340807,39.05390477,57.54545417,8.24910291,44.14906899,79.69080929,59.96651347,16.52651,5.088195677,3.067722009,7.149683428,9.035575843,18.80964664,2.154258402,0,0,0
SC,18.00611351,17.60501754,75.25861786,3.197042827,42.78569276,77.64955634,60.19476684,17.62314186,6.869393275,3.549738491,14.41057626,5.999192939,0,0,0,0,0
C#N,34.33300099,48.33197021,64.39188662,3.77811217,57.67910385,62.92296439,26.05869523,31.07537801,3.10358899,0.816741584,5.229860713,16.7558413,12.64589551,8.268265369,1.832891525,0,0
CCC,1.263453014,4.175150175,97.55318247,3.194441047,51.79843729,91.12191236,42.30820239,4.088166037,9.565014078,13.17975278,0,0,0,0,0,0,0
CCI,12.98654022,14.39165616,87.09749718,1.390779715,48.64140597,80.30123748,52.64710093,13.94200394,10.53608599,7.508647921,15.49031929,0,0,0,0,0,0
COC,15.59680181,8.858752093,59.51022537,15.72842217,28.05487839,90.10918539,58.29375935,12.59012014,8.14839985,7.013896661,7.558602348,6.157795385,10.18360379,0,0,0,0
CSC,15.1812993,12.27293652,73.41878438,6.815903623,36.97567131,84.27096277,57.29566402,13.64630161,9.685325547,6.664104128,13.28996342,6.910332127,0,0,0,0,0
ICI,12.22820563,22.25565984,90.48013112,5.026136275,62.07959243,83.18800393,34.1728502,14.29962468,11.38619136,10.88062926,5.669703147,12.06149311,0,0,0,0,0
NCC,13.73100154,20.98881991,55.48825695,19.32582707,31.64279572,90.09554302,49.32965039,10.55813879,8.764375936,8.20853185,5.492924761,8.410033818,9.926922964,0,0,0,0
OCC,19.44816073,37.00861159,57.55628204,12.83538727,39.70535772,89.54736022,54.96335417,13.74543033,7.94965629,5.892785841,7.401506884,8.763634805,18.78595929,0.73168138,0,0,0
CC#N,35.37770848,24.8112258,57.05475403,1.406278945,44.37269814,60.45343134,76.94565647,33.57782153,6.469587946,0.560849186,6.930510334,38.76632868,18.75069134,0,0,0,0
CC=O,28.55039784,19.02625676,58.9695265,5.250768908,38.05544631,73.03855432,69.42613524,24.74445408,6.81865109,1.577928211,11.68010769,19.66896201,17.63125015,0,0,0,0
CCBr,15.32683338,14.93999273,84.22379315,1.295679715,46.96309504,77.93988178,55.94009249,15.90337408,9.458294028,5.192011632,18.43724133,0,0,0,0,0,0
CCCC,1.402900634,4.062137675,97.33711314,3.18943247,49.96629128,91.17760893,42.84850651,4.116879989,12.24457241,15.8067143,0,0,0,0,0,0,0
CCCl,16.45257776,14.8948398,82.5932189,1.461562779,45.85561835,75.95603953,56.32761687,15.60606325,8.777261339,4.757099859,17.89287244,0,0,0,0,0,0
NCCC,11.29241685,21.21582516,57.03992055,22.83332362,33.9062062,88.31692278,46.19406989,8.406762426,11.4498699,11.14905992,5.425164216,8.058817964,6.563005669,0,0,0,0
NCCN,21.78317895,25.9711009,50.88318294,11.24800053,35.88051452,84.04426657,60.0020588,16.2003094,10.27012774,5.426142039,12.30895817,16.2711251,9.660011319,4.513397782,0,0,0
O=CN,38.97741633,46.06287706,50.95469601,3.239931079,47.35676878,58.37984667,56.86049598,33.23431676,5.829134205,1.541820259,5.274064887,16.0039568,34.04418794,18.88873935,0.203088919,0,0
OCCC,16.62813839,36.44662551,57.34512106,17.33472426,36.83078839,93.43813286,53.40816679,12.47829538,10.65090703,8.565232529,7.457655874,8.616759551,18.78719142,0.279535355,0,0,0
OCCN,24.17357432,42.57043788,52.45901269,9.104630249,44.71452632,78.20470384,56.53093891,18.09721696,9.589119315,4.132043582,13.45118541,14.14064522,14.24546172,6.400792268,0,0,0
OCCO,27.70787685,44.84381919,57.27261363,6.34135002,46.68164434,72.57074233,60.1278005,22.42573577,9.032358821,3.041854058,12.58528976,19.63781951,17.23477626,5.645514314,0,0,0
OCCS,23.7504589,43.76575152,64.3774347,6.327549895,51.78644372,74.31722424,55.05529216,22.62364968,10.7177869,3.972582193,16.73714806,15.90147185,9.483989845,5.511925963,0,0,0
C1OC1,22.08141561,14.57288905,62.14940073,6.769171138,36.36176689,79.18786136,61.90361792,19.0024555,6.548325735,2.785303091,12.90641277,8.244029631,11.44200732,0,0,0,0
CCC#N,29.93372519,22.32858048,56.47488764,4.796224689,38.84193387,70.74397258,74.15224962,25.54550214,9.372232837,1.212732687,15.06020372,28.99216698,19.67518799,0,0,0,0
CCC=C,6.305324012,9.04814172,81.87010674,9.539244766,38.59110866,89.22019952,44.23692791,6.794067038,11.44239243,12.89549091,4.969513843,0,0,0,0,0,0
CCCBr,12.84745972,14.73764092,84.12863135,3.029765087,45.52929239,82.80909694,50.55970671,14.07283809,11.96297991,8.074759568,17.43803306,0,0,0,0,0,0
CCCCC,1.116315198,4.178083065,97.28978648,3.497851925,51.4630451,91.28094486,42.12192801,3.758604533,14.64895061,18.16389718,0,0,0,0,0,0,0
CCCCl,13.57596098,14.41615414,82.40830742,3.159996122,44.37314343,81.43237982,51.01835053,13.91430808,11.3148534,7.383008538,17.56981784,0,0,0,0,0,0
CCNCC,7.63339014,19.82966973,59.32263287,36.99758775,25.04938566,90.63838016,45.81961543,6.902174224,13.72460921,14.67547375,3.504857856,5.147592295,5.4752643,0,0,0,0
CCOCC,8.898678755,8.078091018,60.41474166,28.46050555,22.77260999,90.64914122,46.45158968,8.522733057,14.11650036,14.90325758,3.545811535,5.449777353,6.895794311,0,0,0,0
ClCBr,13.91094829,23.6371209,87.61511006,5.495568926,63.11397762,81.99870453,30.28382707,12.82926162,8.613313944,7.916222311,5.342901204,14.86322626,0,0,0,0,0
ClCCl,15.66129899,25.08048091,85.72878916,5.089700899,62.54001583,81.39732225,29.2582904,15.14298626,7.90808625,6.787148352,6.134536876,15.58393966,0,0,0,0,0
CNC=O,30.55423521,43.24170653,50.30103219,7.078698751,42.6553927,77.28318355,62.94537771,21.51394408,8.815488113,3.335769342,9.939287659,14.24713667,25.53102365,18.49941941,0,0,0
COCCO,25.87509806,39.56248563,47.0776703,8.582942803,39.74111889,76.11021698,61.54653288,18.26555869,12.27491897,4.991601755,15.52955129,11.54326726,25.45927761,14.03489519,0,0,0
COCOC,23.63309644,12.03154852,48.96482556,11.13462538,31.47859841,84.26904922,66.4645916,18.1603528,12.36731369,4.165492013,20.60797459,7.043676085,17.37931013,12.71867919,0,0,0
NCCCC,10.29276851,20.60263547,55.19817021,31.41691016,26.35089886,91.61731348,47.34717071,8.401491602,13.7329419,13.48891377,5.035489633,7.309182701,8.945318593,0.080840515,0,0,0
NCCCN,20.70906323,23.01710877,52.29369022,12.14173251,34.69990635,84.71575567,59.08598645,16.03828625,13.25867976,7.510691794,13.81730825,16.28605319,13.87463095,3.059458232,0,0,0
